"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Blank (Spacing) (1)",""
"7 thru 10","Heliport Identifier (4)","5.6"
"11 thru 12","ICAO Code (2)","5.14"
"13","Subsection Code (1)","5.5"
"14 thru 18","Helipad Identifier (5)","5.180"
"19 thru 21","Blank (Spacing) (3)",""
"22","Continuation Record No. (1)","5.16"
"23","Helipad Shape (1)","5.303"
"24 thru 31","Helipad Dimension (8)","5.176"
"32","Reserved (Expansion) (1)",""
"33 thru 41","Helipad Latitude (9)","5.36"
"42 thru 51","Helipad Longitude (10)","5.37"
"52","Helipad Surface Code (1)","5.249"
"53 thru 56","Helipad Surface Type (4)","5.302"
"57 thru 59","Max Allowable Helicopter Weight (3)","5.309"
"60","Helicopter Performance Requirement (1)","5.310"
"61 thru 66","Reserved (Expansion) (6)",""
"67 thru 71","Helipad Elevation (5)","5.68"
"72 thru 123","Reserved (Expansion) (52)",""
"124 thru 128","File record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
