"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 69","Blank (Spacing) (46)",""
"70 thru 79","Time of Operation (10)","5.195"
"80 thru 89","Time of Operation (10)","5.195"
"90 thru 99","Time of Operation (10)","5.195"
"100 thru 109","Time of Operation (10)","5.195"
"110 thru 119","Time of Operation (10)","5.195"
"120 thru 123","Reserved (Expansion) (4)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
