"Column","Field Name (Length)","Reference"
"1 thru 69","Fields as on Primary Records",""
"70","Continuation Number (1)","5.16"
"71","Application Type (1)","5.91"
"72 thru 76","Intermediate Fix Identifier (5)","5.13"
"77 thru 78","ICAO Code (2)","5.14"
"79","Section Code (1)","5.4"
"80","Subsection Code (1)","5.5"
"81 thru 83","Intermediate Distance (ATD) (3)","5.231"
"84","Fix Related Transition Code (1)","5.241"
"85 thru 89","Intermediate Fix Identifier (5)","5.13"
"90 thru 91","ICAO Code (2)","5.14"
"92","Section Code (1)","5.4"
"93","Subsection Code (1)","5.5"
"94 thru 96","Intermediate Distance (ATD) (3)","5.231"
"97","Fix Related Transition Code (1)","5.241"
"98 thru 102","Intermediate Fix Identifier (5)","5.13"
"103 thru 104","ICAO Code (2)","5.14"
"105","Section Code (1)","5.4"
"106","Subsection Code (1)","5.5"
"107 thru 109","Intermediate Distance (ATD) (3)","5.231"
"110","Fix Related Transition Code (1)","5.241"
"111 thru 115","Intermediate Fix Identifier (5)","5.13"
"116 thru 117","ICAO Code (2)","5.14"
"118","Section Code (1)","5.4"
"119","Subsection Code (1)","5.5"
"120 thru 122","Intermediate Distance (ATD) (3)","5.231"
"123","Fix Related Transition Code (1)","5.241"
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
