"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 27","Blank (Spacing) (4)",""
"28 thru 32","Facility Characteristics (5)","5.93"
"33 thru 74","Reserved (Spacing) (42)",""
"75 thru 79","Magnetic Variation (5)","5.39"
"80 thru 84","Facility Elevation (5)","5.92"
"85 thru 123","Reserved (Expansion) (39)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
