"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 92","Notes (69)","5.61"
"93 thru 96","Runway Surface Type (4)","5.302"
"97","Runway Surface Code (1)","5.249"
"98 thru 101","Starter Extension (4)","5.312"
"102 thru 106","TORA (5)","5.313"
"107 thru 111","TODA (5)","5.314"
"112 thru 116","ASDA (5)","5.315"
"117 thru 121","LDA (5)","5.316"
"122","Runway Usage Indicator (1)","5.317"
"123","Reserved (Expansion) (1)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
