"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Blank (Spacing) (1)",""
"7 thru 10","Heliport Identifier (4)","5.6"
"11 thru 12","ICAO Code (2)","5.14"
"13","Subsection Code (1)","5.5"
"14 thru 16","ATA/IATA Designator (3)","5.107"
"17 thru 18","Reserved (Expansion) (2)",""
"19 thru 21","Blank (Spacing) (3)",""
"22","Continuation Record No. (1)","5.16"
"23 thru 27","Speed Limit Altitude (5)","5.73"
"28 thru 30","Datum Code (3)","5.197"
"31","IFR Capability (1)","5.108"
"32","Heliport Type","5.305"
"33 thru 41","Heliport Reference Point Latitude (9)","5.36"
"42 thru 51","Heliport Reference Point Longitude (10)","5.37"
"52 thru 56","Magnetic Variation (5)","5.39"
"57 thru 61","Heliport Elevation (5)","5.55"
"62 thru 64","Speed Limit (3)","5.72"
"65 thru 68","Recommended Navaid (4)","5.23"
"69 thru 70","ICAO Code (2)","5.14"
"71 thru 75","Transition Altitude (5)","5.53"
"76 thru 80","Transition Level (5)","5.53"
"81","Public Military Indicator (1)","5.177"
"82 thru 84","Time Zone (3)","5.178"
"85","Daylight Indicator (1)","5.179"
"86 thru 91","Reserved Expansion (6)",""
"92","Magnetic/True Indicator (1)","5.165"
"93","Reserved (Expansion) (1)",""
"94 thru 123","Heliport Name (30)","5.71"
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
