"Column","Field Name (Length)","Reference"
"1 thru 69","Fields as on Primary Records",""
"70","Continuation Number (1)","5.16"
"71","Application Type (1)","5.91"
"72","Time Code (1)","5.131"
"73","Time Indicator (1)","5.138"
"74 thru 83","Time of Operation (10)","5.195"
"84 thru 93","Time of Operation (10)","5.195"
"94 thru 103","Time of Operation (10)","5.195"
"104 thru 113","Time of Operation (10)","5.195"
"114 thru 123","Time of Operation (10)","5.195"
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
