"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Subsection Code (1)","5.5"
"7 thru 13","Blank (Spacing) (7)",""
"14 thru 18","Route Identifier (5)","5.8"
"19","Reserved (1)","Note 1"
"20 thru 25","Blank (Spacing) (6)",""
"26 thru 29","Sequence Number (4)","5.12"
"30 thru 34","Fix Identifier (5)","5.13"
"35 thru 36","ICAO Code (2)","5.14"
"37","Section Code (1)","5.4"
"38","Subsection (1)","5.5"
"39","Continuation Record No. (1)","5.16"
"40 thru 43","Waypoint Description Code (4)","5.17"
"44","Boundary Code (1)","5.18"
"45","Route Type (1)","5.7"
"46","Level (1)","5.19"
"47","Direction Restriction (1)","5.115"
"48 thru 49","Cruise Table Indicator (2)","5.134"
"50","EU Indicator (1)","5.164"
"51 thru 54","Recommended NAVAID (4)","5.23"
"55 thru 56","ICAO Code (2)","5.14"
"57 thru 59","RNP (3)","5.211"
"60 thru 62","Blank (Spacing) (3)",""
"63 thru 66","Theta (4)","5.24"
"67 thru 70","Rho (4)","5.25"
"71 thru 74","Outbound Magnetic Course (4)","5.26"
"75 thru 78","Route Distance From (4)","5.27"
"79 thru 82","Inbound Magnetic Course (4)","5.28"
"83","Blank (Spacing) (1)",""
"84 thru 88","Minimum Altitude (5)","5.30"
"89 thru 93","Minimum Altitude (5)","5.30"
"94 thru 98","Maximum Altitude (5)","5.127"
"99 thru 101","Fix Radius Transition Indicator (3)","5.254"
"102 thru 104","Vertical Scale Factor (3)","5.293"
"105 thru 107","RVSM Minimum Level (3)","5.294"
"108 thru 110","VSF RVSM Maximum Level (3)","5.295"
"111 thru 114","Reserved (4)",""
"115 thru 120","Blank (Spacing) (6)",""
"121","Route Qualifier 1 (1)","5.7    Note 2"
"122","Route Qualifier 2 (1)","5.7    Note 2"
"123","Route Qualifier 3 (1)","5.7    Note 2"
"124 thru 128","File Record No (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
