"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Blank (1)",""
"7 thru 10","*Airport or Heliport Identifier (4)","5.6"
"11 thru 12","ICAO Code (2)","5.14"
"13","Subsection Code (1)","5.5"
"14 thru 19","Approach Procedure Ident (6)","5.10"
"20 thru 24","*Runway Identifier or Final Approach Course as 
Runway (5)","5.46 or 5.300"
"25 thru 26","*Operations Type (2)","5.223"
"27","Continuation Record Number (1)","5.16"
"28","*Route Indicator (1)","5.224"
"29 thru 30","*SBAS Service Provider (2)","5.255   Note 3"
"31 thru 32","*Reference Path Data Selector (2)","5.256"
"33 thru 36","*Reference Path Identifier (4)","5.257"
"37","*Approach Performance Designator (1)","5.258"
"38 thru 48","*Landing Threshold Point Latitude (11)","5.267"
"49 thru 60","*Landing Threshold Point Longitude (12)","5.268"
"61 thru 66","*(LTP) Ellipsoid Height (6)","5.225"
"67 thru 70","*Glide Path Angle (4)","5.226"
"71 thru 81","*Flight Path Alignment Point Latitude (11)","5.267"
"82 thru 93","*Flight Path Alignment Point Longitude (12)","5.268"
"94 thru 98","*Course Width at Threshold (5)","5.228"
"99 thru 102","*Length Offset (4)","5.259"
"103 thru 108","*Path Point TCH (6)","5.265"
"109","*TCH Units Indicator (1)","5.266"
"110 thru 115","Blank (Spacing) (6)",""
"116 thru 123","GBAS FAS Data CRC Remainder (8)","5.229"
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
