"Column","Field Name (Length)","Reference"
"1 thru 38","Fields as on Primary Record",""
"39","Continuation Record Number (1)","5.16"
"40","Application Type (1)","5.91"
"41","FAS Block Provided","5.276"
"42 thru 51","FAS Block Provided Level of Service 
Name (10)","5.275"
"52","LNAV/VNAV Authorized (1)","5.276"
"53 thru 62","LNAV/VNAV Level of Service Name (10)","5.275"
"63","LNAV Authorized (1)","5.276"
"64 thru 73","LNAV Level of Service Name (10)","5.275"
"74","Remote Altimeter Flag (1)","5.308"
"75 thru 88","Blank (Spacing) (14)",""
"89","RNP Authorized (1)","5.276"
"90 thru 92","RNP Level of Service value (3)","5.296"
"93","RNP Authorized (1)","5.276"
"94 thru 96","RNP Level of Service value (3)","5.296"
"97","RNP Authorized (1)","5.276"
"98 thru 100","RNP Level of Service value (3)","5.296"
"101","RNP Authorized (1)","5.276"
"102 thru 104","RNP Level of Service value (3)","5.296"
"105 thru 118","Blank (Spacing) (14)",""
"119","Route Qualifier 1 (1)","5.7   Note 1"
"120","Route Qualifier 2 (1)","5.7   Note 1"
"121","Route Qualifier 3 (1)","5.7   Note 1"
"122 thru 123","Blank (2)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
