"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Record",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 27","Blank (Spacing) (4)",""
"28 thru 32","Facility Characteristics (5)","5.93"
"33 thru 51","Blank (Spacing) (19)",""
"52 thru 56","Localizer True Bearing (5)","5.94"
"57","Localizer Bearing Source (1)","5.95"
"58 thru 87","Reserved (Spacing) (30)",""
"88 thru 90","Glideslope Beam Width (3)","5.96"
"91 thru 96","Approach Route Ident (6)","5.10"
"97 thru 102","Approach Route Ident (6)","5.10"
"103 thru 108","Approach Route Ident (6)","5.10"
"109 thru 114","Approach Route Ident (6)","5.10"
"115 thru 120","Approach Route Ident (6)","5.10"
"121 thru 123","Blank (Spacing) (3)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
