"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Blank (Spacing) (1)",""
"7 thru 10","Airport Identifier or Heliport (4)","5.6"
"11 thru 12","ICAO Code (2)","5.14"
"13","Subsection Code (1)","5.5"
"14 thru 17","Localizer Identifier (4)","5.44"
"18","ILS Category (1)","5.80"
"19 thru 21","Blank (Spacing) (3)",""
"22","Continuation Record No. (1)","5.16"
"23 thru 27","Localizer Frequency (5)","5.45"
"28 thru 32","Runway or Helipad Identifier (5)","5.46 or 5.180"
"33 thru 41","Localizer Latitude (9)","5.36"
"42 thru 51","Localizer Longitude (10)","5.37"
"52 thru 55","Localizer Bearing (4)","5.47"
"56 thru 64","Glideslope Latitude (9)","5.36"
"65 thru 74","Glideslope Longitude (10)","5.37"
"75 thru 78","Localizer Position (4)","5.48"
"79","Localizer Position Reference (1)","5.49"
"80 thru 83","Glideslope Position (4)","5.50"
"84 thru 87","Localizer Width (4)","5.51"
"88 thru 90","Glideslope Angle (3)","5.52"
"91 thru 95","Station Declination (5)","5.66"
"96 thru 97","Blank (2)",""
"98 thru 102","Glideslope Elevation (5)","5.74"
"103 thru 106","Supporting Facility ID (4)","5.33            Note 1"
"107 thru 108","Supporting Facility ICAO Code (2)","5.14            Note 1"
"109","Supporting Facility Section Code (1)","5.4              Note 1"
"110","Supporting Facility Subsection Code (1)","5.5              Note 1"
"111 thru 113","Glideslope Height at Landing Threshold (3)","5.67"
"114 thru 123","Reserved (Expansion) (10)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
