"Column","Field Name (Length)","Reference"
"1 thru 38","Fields as on Primary Records",""
"39","Continuation Record No. (1)","5.16"
"40","Application Type (1)","5.91"
"41","Time Code (1)","5.131"
"42","Time Indicator (1)","5.138"
"43 thru 52","Time of Operation (10)","5.195"
"53 thru 62","Time of Operation (10)","5.195"
"63 thru 72","Time of Operation (10)","5.195"
"73 thru 82","Time of Operation (10)","5.195"
"83 thru 92","Time of Operation (10)","5.195"
"93 thru 102","Time of Operation (10)","5.195"
"103 thru 112","Time of Operation (10)","5.195"
"113 thru 123","Reserved (Expansion) (11)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
