"Column","Field Name (Length)","Reference"
"1 thru 17","Fields as on Primary Records",""
"18","Continuation Record No. (1)","5.16"
"19","Application Type (1)","5.91"
"20 thru 51","Reserved (Expansion) (32)",""
"52","Time Code (1)","5.131"
"53","Time Indicator (1)","5.138"
"54 thru 63","Time of Operation (10)","5.195"
"64 thru 73","Time of Operation (10)","5.195"
"74 thru 83","Time of Operation (10)","5.195"
"84 thru 93","Time of Operation (10)","5.195"
"94 thru 95","Cruise Table Ident (2)","5.134"
"96 thru 123","Blank (Spacing) (28)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
