"Column","Field Name (Length)","Reference"
"1 thru 38","Fields as on Primary Records",""
"39","Continuation Record No. (1)","5.16"
"40","Application Type (1)","5.91"
"41 thru 66","Blank (Spacing) (26)",""
"67 thru 68","Restricted Airspace ICAO Code (2)","5.14"
"69","Restricted Airspace Type (1)","5.128"
"70 thru 79","Restricted Airspace Designation (10)","5.129"
"80","Restricted Airspace Multiple Code (1)","5.130"
"81 thru 82","Restricted Airspace ICAO Code (2)","5.14"
"83","Restricted Airspace Type (1)","5.128"
"84 thru 93","Restricted Airspace Designation (10)","5.129"
"94","Restricted Airspace Multiple Code (1)","5.130"
"95 thru 96","Restricted Airspace ICAO Code (2)","5.14"
"97","Restricted Airspace Type (1)","5.128"
"98 thru 107","Restricted Airspace Designation (10)","5.129"
"108","Restricted Airspace Multiple Code (1)","5.130"
"109 thru 110","Restricted Airspace ICAO Code (2)","5.14"
"111","Restricted Airspace Type (1)","5.128"
"112 thru 121","Restricted Airspace Designation (10)","5.129"
"122","Restricted Airspace Multiple Code (1)","5.130"
"123","Restricted. Airspace Link Continuation (1)","5.174"
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
