"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 51","Reserved (Spacing) (28)",""
"52 thru 56","Runway True Bearing (5)","5.94"
"57","True Bearing Source (1)","5.95"
"58 thru 65","Reserved (Spacing) (8)",""
"66","TDZE Location (1)","5.98"
"67 thru 71","Touchdown Zone Elevation (5)","5.97"
"72 thru 123","Reserved (Expansion) (52)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
