"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 27","Remote Facility (4)","5.200"
"28 thru 29","ICAO (2)","5.14"
"30","Section (1)","5.4"
"31","Subsection (1)","5.5"
"32 thru 36","Transmitter Site Mag Var (5)","5.39"
"37 thru 41","Transmitter Site Elevation (5)","5.92"
"42 thru 66","Assigned Sector Name (25)","5.284"
"67","Time Code (1)","5.131"
"68","NOTAM (1)","5.132"
"69","Time Indicator (1)","5.138"
"70 thru 79","Time of Operation (10)","5.195"
"80 thru 89","Time of Operation (10)","5.195"
"90 thru 99","Time of Operation (10)","5.195"
"100 thru 109","Time of Operation (10)","5.195"
"110 thru 119","Time of Operation (10)","5.195"
"120 thru 123","Blank (Spacing) 4",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
