"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer /Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Subsection Code (1)","5.5"
"7","SAA Type (1)","5.278"
"8 thru 13","SAA Identifier (6)","5.279"
"14 thru 15","ICAO Code (2)","5.14"
"16 thru19","Airport Identifier (4)","5.6"
"20 thru 21","ICAO Code (2)","5.14"
"22","Continuation Record No. (1)","5.16"
"23","Blank (Spacing) (1)",""
"24 thru 32","Latitude (9)","5.36"
"33 thru 42","Longitude (10)","5.37"
"43 thru 45","SAA Size (3)","5.280"
"46 thru 51","Upper Limit (5)","5.121"
"52","Unit Indicator (1)","5.133"
"53","SAA Volume (1)","5.281"
"54 thru 56","Operating Times (3)","5.282"
"57","Public or Military (1)","5.177"
"58","Blank (Spacing) (1)",""
"59 thru 83","Controlling Agency (25)","5.140"
"84 thru 86","Communicating Type (3)","5.101"
"87 thru 93","Communication Frequency (7)","5.103"
"94 thru 123","Special Activity Area Name (30)","5.126"
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
