"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 27","FIR Identifier (4)","5.116"
"28 thru 31","UIR Identifier (4)","5.116"
"32 thru 43","Blank (Spacing) (12)",""
"44","FIR/FRA Entry Point (1)","5.311"
"45","FIR/FRA Exit Point (1)","5.311"
"46","FRA Arrival Transition Point (1)","5.311"
"47","FRA Departure Transition Point (1)","5.311"
"48","FRA Intermediate Point (1)","5.311"
"49","FRA Terminal Holding Point (1)","5.311"
"50 thru 123","Reserved (Expansion) (74)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
