"Column","Field Name (Length)","Reference"
"1 thru 26","Fields as on Primary Record Type",""
"27","Continuation Record Number (1)","5.16"
"28","Application Type (1)","5.91"
"29 thru 34","(FPAP) Ellipsoid Height (6)","5.225"
"35 thru 40","(FPAP) Orthometric Height (6)","5.227"
"41 thru 46","(LTP) Orthometric Height (6)","5.227"
"47 thru 56","Approach Type Identifier (10)","5.262"
"57 thru 61","GBAS/SBAS Channel Number (5)","5.244"
"62 thru 123","Blank (Spacing) (65)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
