"Column","Field Name (Length)","Reference"
"1 thru 38","Field as on Primary Records",""
"39","Continuation Record No. (1)","5.16"
"40","Application Type (1)","5.91"
"41 thru 42","Reserved (Spacing) (3)",""
"43 thru 48","Sector Bearing (6)","5.146"
"49 thru 51","Sector Altitude (3)","5.147"
"52 thru 53","Sector Radius (2)","5.145"
"54 thru 59","Sector Bearing (6)","5.146"
"60 thru 62","Sector Altitude (3)","5.147"
"63 thru 64","Sector Radius (2)","5.145"
"65 thru 70","Sector Bearing (6)","5.146"
"71 thru 73","Sector Altitude (3)","5.147"
"74 thru 75","Sector Radius (2)","5.145"
"76 thru 81","Sector Bearing (6)","5.146"
"82 thru 84","Sector Altitude (3)","5.147"
"85 thru 86","Sector Radius (2)","5.145"
"87 thru 92","Sector Bearing (6)","5.146"
"93 thru 95","Sector Altitude (3)","5.147"
"96 thru 97","Sector Radius (2)","5.145"
"98 thru 103","Sector Bearing (6)","5.146"
"104 thru 106","Sector Altitude (3)","5.147"
"107 thru 108","Sector Radius (2)","5.145"
"109 thru 114","Sector Bearing (6)","5.146"
"115 thru 117","Sector Altitude (3)","5.147"
"118 thru 119","Sector Radius (2)","5.145"
"120 thru 123","Field as on Primary Records",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
