"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Blank (Spacing) (1)",""
"7 thru 10","Heliport Identifier (4)","5.6"
"11 thru 12","ICAO Code (2)","5.14"
"13","Subsection Code (1)","5.5"
"14 thru 19","SID/STAR/APP Identifier (6)","5.9, 5.10      Note 1"
"20","Route Type (1)","5.7"
"21 thru 25","Transition Identifier (5)","5.11"
"26","Procedure Design Aircraft Category or Type","5.301"
"27 thru 29","Sequence Number (3)","5.12"
"30 thru 34","Fix Identifier (5)","5.13"
"35 thru 36","ICAO Code (2)","5.14"
"37","Section Code (1)","5.4"
"38","Subsection Code (1)","5.5"
"39","Continuation Record Number (1)","5.16"
"40 thru 43","Waypoint Description Code (4)","5.17"
"44","Turn Direction (1)","5.20"
"45 thru 47","RNP (3)","5.211           Note 4"
"48 thru 49","Path and Termination (2)","5.21"
"50","Turn Direction Valid (1)","5.22"
"51 thru 54","Recommended Navaid (4)","5.23"
"55 thru 56","ICAO Code (2)","5.14"
"57 thru 62","ARC Radius (6)","5.204"
"63 thru 66","Theta (4)","5.24"
"67 thru 70","Rho (4)","5.25"
"71 thru 74","Magnetic Course (4)","5.26"
"75 thru 78","Route Distance/Holding Distance or Time (4)","5.27"
"79","Recommended Navaid Section (1)","5.4"
"80","Recommended Navaid Subsection (1)","5.5"
"81","Inbound/Outbound Indicator (1)","5.298"
"82","Reserved (Spacing) (1)",""
"83","Altitude Description (1)","5.29"
"84","ATC Indicator (1)","5.81"
"85 thru 89","Altitude (5)","5.30"
"90 thru 94","Altitude (5)","5.30"
"95 thru 99","Transition Altitude (5)","5.53"
"100 thru 102","Speed Limit (3)","5.72"
"103 thru 106","Vertical Angle (4)","5.70"
"107 thru 111","Center Fix or TAA Procedure Turn Indicator (5)","5.144 or 5.271"
"112","Multiple Code or TAA, Sector Identifier (1)","5.130 or 5.272"
"113 thru 114","ICAO Code (2)","5.14             Note 3"
"115","Section Code (1)","5.4               Note 3"
"116","Subsection Code (1)","5.5               Note 3"
"117","GNSS/FMS Indicator (1)","5.222"
"118","Speed Limit Description (1)","5.261"
"119","Route Qualifier 1 (1)","5.7               Note 2"
"120","Route Qualifier 2 (1)","5.7               Note 2"
"121","Route Qualifier 3 (1)","5.7               Note 2"
"122","Preferred Multiple Approach Indicator (1)","5.306"
"123","Reserved (Expansion) (1)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
