"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Blank (Spacing) (1)",""
"7 thru 10","Airport Identifier (4)","5.6"
"11 thru 12","ICAO Code (2)","5.14"
"13","Subsection Code (1)","5.5"
"14 thru 19","SID/STAR/Approach Identifier (6)","5.9, 5.10"
"20","Procedure Type (1)","5.230"
"21 thru 25","Runway Transition Identifier (5)","5.11"
"26 thru 30","Runway Transition Fix (5)","5.13"
"31 thru 32","ICAO Code (2)","5.14"
"33","Section Code (1)","5.4"
"34","Subsection Code (1)","5.5"
"35 thru 37","Runway Transition Along Track Distance (3)","5.231"
"38 thru 42","Common Segment Transition Fix (5)","5.13"
"43 thru 44","ICAO Code (2)","5.14"
"45","Section Code (1)","5.4"
"46","Subsection Code (1)","5.5"
"47 thru 49","Common Segment Along Track Distance (3)","5.231"
"50 thru 54","Enroute Transition Identifier (5)","5.11"
"55 thru 59","Enroute Transition Fix (5)","5.13"
"60 thru 61","ICAO Code (2)","5.14"
"62","Section Code (1)","5.4"
"63","Subsection Code (1)","5.5"
"64 thru 66","Enroute Transition Along Track Distance (3)","5.231"
"67 thru 69","Sequence Number (3)","5.12"
"70","Continuation Number (1)","5.16"
"71 thru 74","Number of Engines (4)","5.232"
"75","Turboprop/Jet Indicator (1)","5.233"
"76","RNAV Flag (1)","5.234"
"77","ATC Weight Category (1)","5.235"
"78 thru 84","ATC Identifier (7)","5.236"
"85","Time Code (1)","5.131"
"86 thru 100","Procedure Description (15)","5.237"
"101 thru 102","Leg Type Code (2)","5.238"
"103","Reporting Code (1)","5.239"
"104 thru 107","Initial Departure Magnetic Course (4)","5.26"
"108","Altitude Description (1)","5.29"
"109 thru 111","Altitude (3)","5.240"
"112 thru 114","Altitude (3)","5.240"
"115 thru 117","Speed Limit (3)","5.72"
"118 thru 119","Initial Cruise Table (2)","5.134"
"120","Speed Limit Description (1)","5.261"
"121 thru 123","Blank (Spacing) (3)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
