"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Subsection Code (1)","5.5"
"7 thru 10","FIR/RDO Ident (4)","5.190"
"11 thru 14","FIR/UIR Address (4)","5.151"
"15","Indicator (1)","5.117"
"16 thru 19","Communication Class (4)","5.283"
"20 thru 21","Sequence Number (2)","5.12"
"22","Continuation Record No. (1)","5.16"
"23 thru 25","Communications Type (3)","5.101"
"26 thru 32","Transmit Frequency (7)","5.103"
"33 thru 39","Receive Frequency (7)","5.103"
"40","Frequency Units (1)","5.104"
"41","Radar Service (1)","5.102"
"42","H24 Indicator (1)","5.181"
"43 thru 67","Call Sign (25)","5.105"
"68 thru 92","Position Narrative (25)","5.189"
"93 thru 101","Latitude (9)","5.36"
"102 thru 111","Longitude (10)","5.37"
"112 thru 114","Service Indicator (3)","5.106"
"115","Modulation (1)","5.198"
"116","Signal Emission (1)","5.199"
"117","Altitude Descript. (1)","5.29"
"118 thru 120","Communication Altitude 1 (3)","5.184"
"121 thru 123","Communication Altitude 2 (3)","5.184"
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
