"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record Number (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 27","FIR Identifier (4)","5.116"
"28 thru 31","UIR Identifier (4)","5.116"
"32 thru 66","Blank (Spacing) (35)",""
"67","Controlled Airspace Indicator (1)","5.217"
"68 thru 71","Controlled Airspace Airport Identifier (4)","5.6"
"72 thru 73","Controlled Airspace Airport ICAO (2)","5.14"
"74","Heliport Type","5.305"
"73 thru 123","Blank (Spacing) (49)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
