"Column","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Subsection Code (1)","5.5"
"7 thru 10","Airport Identifier (4)","5.6"
"11 thru 12","ICAO Code (2)","5.14"
"13","Blank (Spacing) (1)",""
"14 thru 17","VOR Identifier (4)","5.33"
"18 thru 21","Blank (Spacing) (4)",""
"22","Continuation Record No. (1)","5.16"
"23 thru 27","VOR Frequency (5)","5.34"
"28 thru 32","NAVAID Class (5)","5.35"
"33 thru 51","Blank (Spacing) (19)",""
"52 thru 55","TACAN Ident (4)","5.38"
"56 thru 64","TACAN Latitude (9)","5.36"
"65 thru 74","TACAN Longitude (10)","5.37"
"75 thru79","Station Declination (5)","5.66"
"80 thru 84","TACAN Elevation (5)","5.40"
"85","Figure of Merit (1)","5.149"
"86 thru 87","Blank (Spacing) (2)",""
"88 thru 90","Frequency Protection (3)","5.150"
"91 thru 93","Datum Code (3)","5.197"
"94 thru 123","TACAN Name (30)","5.71"
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
