"Column","Field Name (Length)","Reference"
"1 thru 30","Fields as on Primary Records",""
"31","Users (1)","5.91"
"32","Blank (Spacing) (1)",""
"33 thru 38","Sector Bearing (6)","5.146"
"39 thru 41","Sector Minimum Altitude (3)","5.147"
"42 thru 45","Sector Radius 1 (4)","5.274"
"46","Procedure Turn Indicator (1)","5.271"
"47 thru 52","Sector Bearing (6)","5.146"
"53 thru 55","Sector Minimum Altitude (3)","5.147"
"56 thru 59","Sector Radius 1 (4)","5.274"
"60","Procedure Turn Indicator (1)","5.271"
"61 thru 66","Sector Bearing (6)","5.146"
"67 thru 69","Sector Minimum Altitude (3)","5.147"
"70 thru 73","Sector Radius 1 (4)","5.274"
"74","Procedure Turn Indicator (1)","5.271"
"75 thru 80","Sector Bearing (6)","5.146"
"81 thru 83","Sector Minimum Altitude (3)","5.147"
"84 thru 87","Sector Radius 1 (4)","5.274"
"88","Procedure Turn Indicator (1)","5.271"
"89 thru 109","Notes (21)","5.61"
"110 thru 116","Reserved (Expansion) (7)",""
"117","Procedure Design Aircraft Category or Type (1)","5.301"
"118","Approach Route Qualifier 1 (1)","5.7"
"119","Approach Route Qualifier 2 (1)","5.7"
"120 thru 123","Blank (4)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
