"Column","Field Name (Length)","Reference"
"1 thru 38","Fields as on Primary Records",""
"39","Continuation Record Number (1)","5.16"
"40","Application Type (1)","5.91"
"41 thru 74","Blank (Spacing) (34)",""
"75 thru 78","Leg Distance (4)","5.260"
"79 thru 118","Reserved (Expansion) (40)",""
"119","Route Qualifier 1 (1)","5.7     Note 1"
"120","Route Qualifier 2 (1)","5.7     Note 1"
"121","Route Qualifier 3 (1)","5.7     Note 1"
"122 thru 123","Blank (Spacing) (2)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
